series,final_mass,final_x50,final_x90
0.4_BSA_COOH_control_r1,1922.9706840515137,1.0395833333333333,7.525
0.4_BSA_COOH_control_r2,,,
0.4_BSA_COOH_control_r3,530.2654075622559,1.3375,7.59375
0.4_BSA_COOH_magnet_r1,2827.236297607422,1.5208333333333335,2.9875
0.4_BSA_COOH_magnet_r2,2011.3087539672852,1.2687499999999998,3.8125
0.4_BSA_COOH_magnet_r3,2030.7611255645752,1.5208333333333335,3.904166666666667
0.4_BSA_PEG_control_r1,2125.9635314941406,1.2458333333333331,2.4604166666666667
0.4_BSA_PEG_control_r2,3466.0457878112793,1.5208333333333335,2.4604166666666667
0.4_BSA_PEG_control_r3,2103.255630493164,1.3375,7.800000000000001
0.4_BSA_PEG_magnet_r1,2470.3578186035156,3.1479166666666663,4.775
0.4_BSA_PEG_magnet_r2,1277.3277893066406,3.4000000000000004,7.754166666666666
0.4_BSA_PEG_magnet_r3,3620.131637573242,2.4604166666666667,4.202083333333333
0.4_non-BSA_COOH_control_r1,2903.0589141845703,2.1395833333333334,3.6291666666666664
0.4_non-BSA_COOH_control_r2,4147.908344268799,3.239583333333333,5.11875
0.4_non-BSA_COOH_control_r3,3968.2754440307617,1.3145833333333332,3.5145833333333334
0.4_non-BSA_COOH_magnet_r1,1208.7991676330566,2.09375,4.56875
0.4_non-BSA_COOH_magnet_r2,2408.5286026000977,2.254166666666667,4.98125
0.4_non-BSA_COOH_magnet_r3,1719.2524223327637,3.4916666666666663,4.454166666666667
0.4_non-BSA_PEG_control_r1,1098.7474384307861,0.58125,0.85625
0.4_non-BSA_PEG_control_r2,1855.9542922973633,2.941666666666667,3.354166666666667
0.4_non-BSA_PEG_control_r3,3344.8786582946777,1.81875,3.6520833333333336
0.4_non-BSA_PEG_magnet_r1,2923.4789276123047,1.4979166666666668,2.3229166666666665
0.4_non-BSA_PEG_magnet_r2,2226.6327056884766,2.2083333333333335,4.339583333333334
0.4_non-BSA_PEG_magnet_r3,1465.64644241333,2.78125,7.6625
0.6_BSA_COOH_control_r1,915.170352935791,2.345833333333333,2.597916666666667
0.6_BSA_COOH_control_r2,1887.8849830627441,1.5208333333333335,2.4604166666666667
0.6_BSA_COOH_control_r3,2083.491428375244,2.575,3.354166666666667
0.6_BSA_COOH_magnet_r1,635.4790420532227,2.941666666666667,7.8916666666666675
0.6_BSA_COOH_magnet_r2,1373.206600189209,1.2229166666666669,7.272916666666667
0.6_BSA_COOH_magnet_r3,1484.7827110290527,2.1395833333333334,7.158333333333333
0.6_BSA_PEG_control_r1,2690.645763397217,1.0395833333333333,7.800000000000001
0.6_BSA_PEG_control_r2,,,
0.6_BSA_PEG_control_r3,3637.1182289123535,1.75,2.597916666666667
0.6_BSA_PEG_magnet_r1,1324.4292488098145,2.8958333333333335,4.683333333333334
0.6_BSA_PEG_magnet_r2,2193.560375213623,1.3145833333333332,2.3916666666666666
0.6_BSA_PEG_magnet_r3,1243.2690620422363,1.5666666666666669,7.754166666666666
0.6_non-BSA_COOH_control_r1,3188.8293418884277,2.0708333333333333,2.8958333333333335
0.6_non-BSA_COOH_control_r2,3417.7252616882324,3.33125,4.820833333333334
0.6_non-BSA_COOH_control_r3,5116.629619598389,1.6583333333333332,2.529166666666667
0.6_non-BSA_COOH_magnet_r1,4160.335052490234,2.3229166666666665,3.7437500000000004
0.6_non-BSA_COOH_magnet_r2,2451.419967651367,1.1083333333333334,2.0708333333333333
0.6_non-BSA_COOH_magnet_r3,1957.7603187561035,3.1708333333333334,4.0875
0.6_non-BSA_PEG_control_r1,2816.465358734131,0.9479166666666667,2.0479166666666666
0.6_non-BSA_PEG_control_r2,2604.2165336608887,1.1770833333333335,2.09375
0.6_non-BSA_PEG_control_r3,3953.937801361084,1.8645833333333335,2.872916666666667
0.6_non-BSA_PEG_magnet_r1,1213.6885833740234,2.78125,7.502083333333333
0.6_non-BSA_PEG_magnet_r2,1066.783618927002,2.1166666666666667,3.1479166666666663
0.6_non-BSA_PEG_magnet_r3,1328.4193000793457,2.277083333333333,7.479166666666666
